previewURL,pageURL,tags,imageWidth,imageHeight,imageSize,views,downloads,collections,likes,comments,user,download_view_proportion,popularity,is_onkelglocke
https://cdn.pixabay.com/photo/2018/01/12/21/18/petrol-3079094_150.jpg,https://pixabay.com/photos/petrol-equipment-fire-extinguisher-3079094/,"petrol, equipment, fire extinguisher",4608,2592,1341901,18080,10625,35,36,7,GulArt,0.5876659292035398,Popular,FALSE
https://cdn.pixabay.com/photo/2017/08/20/23/34/f-22-raptor-2663597_150.jpg,https://pixabay.com/photos/f-22-raptor-stealth-aircraft-jet-2663597/,"f-22 raptor, stealth, aircraft",4547,2787,550761,10156,6731,27,33,2,Military_Material,0.662760929499803,Popular,FALSE
https://cdn.pixabay.com/photo/2018/04/21/12/41/airplane-3338398_150.jpg,https://pixabay.com/photos/airplane-military-aircraft-jet-3338398/,"airplane, military, aircraft",4962,3319,1670125,1622,859,7,7,0,glimpssss,0.5295930949445129,Average,FALSE
https://cdn.pixabay.com/photo/2022/09/28/20/28/saab-jas-39-gripen-7485936_150.jpg,https://pixabay.com/photos/saab-jas-39-gripen-fighter-jet-7485936/,"saab jas 39 gripen, fighter jet, fighter plane",5472,3648,2525923,420,269,1,3,0,onkelglocke,0.6404761904761904,Unpopular,TRUE
https://cdn.pixabay.com/photo/2013/05/05/13/32/uss-nimitz-108937_150.jpg,https://pixabay.com/photos/uss-nimitz-ships-aircraft-carrier-108937/,"uss nimitz, ships, aircraft carrier",4248,2832,2819012,8955,4215,91,12,0,12019,0.47068676716917923,Average,FALSE
https://cdn.pixabay.com/photo/2012/12/12/11/57/great-britain-69583_150.jpg,https://pixabay.com/photos/great-britain-england-britain-pilot-69583/,"great britain, england, britain",6250,4796,2904476,5155,1968,8,16,2,12019,0.38176527643064984,Average,FALSE
https://cdn.pixabay.com/photo/2017/08/25/07/35/f-16-fighting-falcon-2679331_150.jpg,https://pixabay.com/photos/f-16-fighting-falcon-air-force-2679331/,"f-16 fighting falcon, air force, preparation",5937,3736,2640442,1204,682,21,3,0,Military_Material,0.5664451827242525,Average,FALSE
https://cdn.pixabay.com/photo/2016/05/02/14/13/general-1367294_150.jpg,https://pixabay.com/photos/general-electric-j79-jet-turbine-1367294/,"general, electric, j79",4985,3363,2898171,3149,2133,17,7,0,2427999,0.6773578913940934,Average,FALSE
https://cdn.pixabay.com/photo/2015/09/19/02/55/blue-angels-946754_150.jpg,https://pixabay.com/photos/blue-angels-jets-navy-military-sky-946754/,"blue angels, jets, navy",4256,2394,2006081,14349,8916,49,30,7,Website-Photography,0.6213673426719633,Popular,FALSE
https://cdn.pixabay.com/photo/2019/09/03/15/59/sky-4449724_150.jpg,https://pixabay.com/photos/sky-usaf-airplane-aviation-jet-4449724/,"sky, usaf, airplane",4500,2989,1629871,1284,870,5,8,1,asompoch,0.677570093457944,Average,FALSE
https://cdn.pixabay.com/photo/2013/05/05/13/32/plane-108935_150.jpg,https://pixabay.com/photos/plane-jet-u-s-navy-f-a-18c-sky-108935/,"plane, jet, u s navy",4372,2915,572810,3398,1715,23,10,1,12019,0.5047086521483225,Average,FALSE
https://cdn.pixabay.com/photo/2018/04/18/00/27/aircraft-3329219_150.jpg,https://pixabay.com/photos/plane-airfield-military-f18-3329219/,"plane, airfield, military",4288,2848,1780805,853,361,7,5,1,Netloop,0.4232121922626026,Unpopular,FALSE
https://cdn.pixabay.com/photo/2018/04/18/00/47/aircraft-3329238_150.jpg,https://pixabay.com/photos/plane-jet-military-flew-f16-3329238/,"plane, jet, military",4288,2848,993341,1922,1025,19,6,1,Netloop,0.5332986472424558,Average,FALSE
